Airline,Source,Destination,Total_Stops,Day_of_Journey,Month_of_Journey,Dep_hour,Dep_min,Duration_hours,Duration_mins,Arrival_hour,Arrival_min,Price
Jet Airways,Kolkata,Banglore,1,6,5,17,0,16,45,9,45,8066
IndiGo,Banglore,Delhi,0,6,5,13,0,2,50,15,50,3943
Multiple carriers,Delhi,Cochin,1,1,6,7,30,11,30,19,0,11200
Jet Airways,Kolkata,Banglore,1,18,5,18,55,9,45,4,40,8586
Jet Airways,Kolkata,Banglore,1,12,6,21,10,12,55,10,5,13044
Multiple carriers,Delhi,Cochin,1,3,6,9,15,10,0,19,15,8099
Jet Airways,Delhi,Cochin,1,15,6,17,30,10,55,4,25,10262
Multiple carriers,Delhi,Cochin,2,24,6,17,50,7,40,1,30,18275
Multiple carriers,Delhi,Cochin,1,27,5,6,0,15,0,21,0,8475
SpiceJet,Kolkata,Banglore,0,6,4,22,20,2,20,0,40,3873
IndiGo,Mumbai,Hyderabad,0,21,6,21,20,1,30,22,50,2227
Jet Airways,Delhi,Cochin,2,6,3,5,25,38,20,19,45,16389
Air India,Banglore,Delhi,0,3,5,6,10,2,45,8,55,5228
Air India,Banglore,New_Delhi,1,21,3,11,50,21,5,8,55,5092
IndiGo,Banglore,New_Delhi,0,9,3,21,20,2,55,0,15,4777
Air Asia,Banglore,New_Delhi,0,24,3,5,50,2,50,8,40,3383
Vistara,Kolkata,Banglore,1,21,5,7,10,25,55,9,5,8452
IndiGo,Banglore,Delhi,0,27,5,23,30,2,50,2,20,3943
Air India,Mumbai,Hyderabad,0,24,6,21,5,1,20,22,25,3100
IndiGo,Delhi,Cochin,1,6,3,9,10,16,25,1,35,14871
Jet Airways,Banglore,Delhi,0,21,6,11,10,2,55,14,5,8016
Multiple carriers,Delhi,Cochin,1,12,6,6,0,13,0,19,0,11789
Multiple carriers,Delhi,Cochin,1,15,5,11,40,7,20,19,0,10529
Air Asia,Banglore,New_Delhi,0,15,3,5,50,2,50,8,40,5615
SpiceJet,Kolkata,Banglore,1,6,6,15,5,5,15,20,20,4649
Air India,Kolkata,Banglore,2,9,6,5,50,17,25,23,15,12723
Jet Airways,Kolkata,Banglore,1,24,5,6,30,11,45,18,15,10844
Jet Airways,Delhi,Cochin,1,3,6,20,55,22,5,19,0,14714
Vistara,Delhi,Cochin,0,12,6,14,40,3,10,17,50,6216
IndiGo,Kolkata,Banglore,0,15,3,9,35,2,45,12,20,4148
IndiGo,Delhi,Cochin,1,6,3,6,40,5,20,12,0,5647
Jet Airways,Kolkata,Banglore,1,15,5,8,25,9,50,18,15,10844
IndiGo,Delhi,Cochin,1,9,5,5,5,7,5,12,10,6818
Air India,Delhi,Cochin,2,27,5,10,55,20,45,7,40,13643
Multiple carriers,Delhi,Cochin,1,27,3,7,0,14,0,21,0,6358
Jet Airways,Delhi,Cochin,1,1,6,13,0,6,0,19,0,14714
SpiceJet,Delhi,Cochin,1,21,4,8,45,4,30,13,15,6460
Jet Airways,Kolkata,Banglore,1,12,5,21,10,14,50,12,0,9663
Jet Airways,Kolkata,Banglore,1,21,5,6,30,27,35,10,5,13941
Jet Airways,Delhi,Cochin,1,27,3,19,45,24,0,19,45,5963
Jet Airways,Delhi,Cochin,2,15,6,19,30,17,5,12,35,13014
Jet Airways,Kolkata,Banglore,1,9,5,16,30,16,50,9,20,9663
IndiGo,Banglore,Delhi,0,6,4,13,0,2,50,15,50,4423
Jet Airways,Delhi,Cochin,2,6,5,11,40,7,20,19,0,21219
IndiGo,Delhi,Cochin,1,24,5,18,35,6,55,1,30,7503
IndiGo,Kolkata,Banglore,0,24,6,21,25,2,40,0,5,4804
Jet Airways,Delhi,Cochin,2,9,5,9,40,26,55,12,35,15129
Multiple carriers,Delhi,Cochin,2,27,3,7,10,14,10,21,20,6197
SpiceJet,Chennai,Kolkata,0,27,5,17,45,2,20,20,5,3597
Multiple carriers,Delhi,Cochin,1,27,3,7,30,11,45,19,15,9100
Jet Airways,Mumbai,Hyderabad,0,1,6,7,5,1,25,8,30,4050
Multiple carriers,Delhi,Cochin,1,6,6,10,0,15,30,1,30,7723
Jet Airways,Delhi,Cochin,2,9,5,23,5,19,55,19,0,15129
Jet Airways,Delhi,Cochin,1,18,5,8,0,11,0,19,0,12373
IndiGo,Banglore,Delhi,0,3,5,23,30,2,50,2,20,4591
SpiceJet,Chennai,Kolkata,0,9,3,8,20,2,15,10,35,6300
Air India,Banglore,New_Delhi,0,24,3,17,0,2,45,19,45,5176
Multiple carriers,Delhi,Cochin,1,15,6,9,0,10,0,19,0,12717
Air India,Chennai,Kolkata,0,18,3,11,40,2,15,13,55,4405
SpiceJet,Delhi,Cochin,1,21,4,15,45,6,20,22,5,6749
Jet Airways,Kolkata,Banglore,1,12,5,10,20,7,15,17,35,7064
Jet Airways,Delhi,Cochin,1,21,5,7,5,5,30,12,35,16289
IndiGo,Chennai,Kolkata,0,15,3,11,35,2,25,14,0,6297
Jet Airways,Mumbai,Hyderabad,0,12,5,19,35,1,30,21,5,5678
Jet Airways,Kolkata,Banglore,1,1,5,20,0,13,20,9,20,14388
Jet Airways,Banglore,Delhi,0,18,4,6,0,2,45,8,45,7229
IndiGo,Kolkata,Banglore,1,24,3,11,55,4,30,16,25,9806
IndiGo,Delhi,Cochin,1,6,6,21,50,5,45,3,35,6195
Jet Airways,Kolkata,Banglore,1,12,6,18,55,23,20,18,15,13044
Jet Airways,Delhi,Cochin,2,27,6,11,45,16,40,4,25,13882
Jet Airways,Banglore,New_Delhi,1,24,3,5,45,5,0,10,45,8147
Air India,Delhi,Cochin,2,9,4,17,15,14,25,7,40,8052
Jet Airways,Kolkata,Banglore,1,1,5,6,30,13,20,19,50,14781
Jet Airways,Kolkata,Banglore,1,24,5,9,35,12,30,22,5,14151
IndiGo,Kolkata,Banglore,1,18,5,18,5,5,25,23,30,6704
Jet Airways,Kolkata,Banglore,1,1,5,8,25,27,35,12,0,9663
IndiGo,Kolkata,Banglore,0,18,3,15,20,2,35,17,55,4462
Jet Airways,Delhi,Cochin,2,21,3,10,45,17,40,4,25,8367
Jet Airways,Delhi,Cochin,2,9,6,6,45,21,40,4,25,13376
Jet Airways,Kolkata,Banglore,1,21,5,20,25,13,20,9,45,13067
IndiGo,Kolkata,Banglore,0,21,5,14,25,2,30,16,55,5224
Multiple carriers,Delhi,Cochin,1,21,3,16,0,9,35,1,35,13542
GoAir,Banglore,Delhi,0,24,5,7,45,2,55,10,40,3419
Multiple carriers,Delhi,Cochin,2,6,3,9,45,11,35,21,20,10444
IndiGo,Kolkata,Banglore,0,1,6,9,35,2,35,12,10,4804
Jet Airways,Mumbai,Hyderabad,0,21,5,7,5,1,25,8,30,4995
SpiceJet,Delhi,Cochin,1,27,4,17,55,4,55,22,50,4957
Jet Airways,Delhi,Cochin,1,9,5,20,55,7,30,4,25,15554
Jet Airways,Kolkata,Banglore,1,1,5,20,0,16,0,12,0,9663
Jet Airways,Kolkata,Banglore,1,18,5,9,35,24,10,9,45,14151
IndiGo,Delhi,Cochin,0,6,6,5,35,3,15,8,50,5601
Multiple carriers,Delhi,Cochin,1,15,5,6,40,12,35,19,15,7787
Air India,Banglore,New_Delhi,1,21,3,11,50,12,5,23,55,5092
Jet Airways,Kolkata,Banglore,1,6,6,21,10,12,10,9,20,10844
Multiple carriers,Delhi,Cochin,2,9,3,17,50,7,45,1,35,23583
Air India,Kolkata,Banglore,2,12,5,12,0,30,30,18,30,10676
SpiceJet,Kolkata,Banglore,1,6,6,11,15,7,15,18,30,10156
Air Asia,Delhi,Cochin,1,6,3,16,45,14,25,7,10,8627
Air Asia,Kolkata,Banglore,0,21,5,9,45,2,30,12,15,4409
Multiple carriers,Delhi,Cochin,1,18,5,9,45,6,25,16,10,9646
Jet Airways,Banglore,New_Delhi,1,12,3,21,25,15,0,12,25,13817
Air India,Delhi,Cochin,2,9,5,13,20,18,20,7,40,13538
Air India,Kolkata,Banglore,2,9,5,12,0,19,55,7,55,9416
Jet Airways,Banglore,Delhi,0,27,4,11,10,2,55,14,5,7229
Air India,Kolkata,Banglore,1,1,5,10,0,13,15,23,15,10203
IndiGo,Delhi,Cochin,1,21,5,16,10,8,45,0,55,6778
IndiGo,Mumbai,Hyderabad,0,15,6,12,0,1,30,13,30,2754
Air India,Kolkata,Banglore,2,1,5,5,50,14,35,20,25,10991
Vistara,Banglore,Delhi,0,27,5,11,30,2,50,14,20,4668
SpiceJet,Delhi,Cochin,1,3,6,8,45,4,30,13,15,5726
Air India,Kolkata,Banglore,2,12,6,9,50,13,25,23,15,14960
Air India,Delhi,Cochin,1,21,5,20,40,12,45,9,25,7480
Air Asia,Kolkata,Banglore,0,21,5,19,55,2,30,22,25,4107
Jet Airways,Kolkata,Banglore,1,1,5,9,35,24,10,9,45,11467
IndiGo,Delhi,Cochin,1,27,4,2,0,5,25,7,25,5796
Jet Airways,Delhi,Cochin,1,6,6,2,15,16,45,19,0,10262
Air India,Delhi,Cochin,3,27,6,5,15,26,25,7,40,11543
IndiGo,Delhi,Cochin,1,24,4,6,50,5,20,12,10,5298
Air Asia,Delhi,Cochin,1,27,4,20,45,10,25,7,10,6451
Air India,Kolkata,Banglore,0,9,6,14,15,2,30,16,45,6245
Jet Airways,Mumbai,Hyderabad,0,27,3,19,35,1,30,21,5,2071
IndiGo,Kolkata,Banglore,0,15,5,9,35,2,45,12,20,4804
Multiple carriers,Delhi,Cochin,1,27,6,7,30,13,30,21,0,7005
Jet Airways,Banglore,New_Delhi,1,18,3,5,45,6,40,12,25,12284
Air India,Kolkata,Banglore,1,9,5,7,0,13,25,20,25,10203
IndiGo,Delhi,Cochin,1,27,5,14,20,8,10,22,30,6938
Multiple carriers,Delhi,Cochin,1,12,6,10,0,15,30,1,30,13377
Multiple carriers,Delhi,Cochin,1,1,6,9,15,10,0,19,15,9779
Air India,Chennai,Kolkata,0,15,5,11,40,2,15,13,55,4667
Jet Airways,Banglore,Delhi,0,3,4,19,50,3,0,22,50,4544
Jet Airways,Delhi,Cochin,1,27,6,21,50,6,35,4,25,16079
Jet Airways,Kolkata,Banglore,1,1,4,16,30,27,20,19,50,7064
Jet Airways,Delhi,Cochin,1,18,5,14,0,5,0,19,0,15554
SpiceJet,Chennai,Kolkata,0,18,5,9,45,2,15,12,0,3543
Air India,Banglore,Delhi,0,18,4,13,20,2,50,16,10,6121
IndiGo,Delhi,Cochin,1,27,3,8,25,7,5,15,30,8075
Multiple carriers,Delhi,Cochin,1,3,6,11,30,14,0,1,30,13377
Jet Airways,Kolkata,Banglore,1,24,5,14,5,5,45,19,50,14571
SpiceJet,Banglore,Delhi,0,24,4,5,55,2,40,8,35,3919
Jet Airways,Kolkata,Banglore,1,24,3,18,55,9,50,4,45,14231
IndiGo,Mumbai,Hyderabad,0,15,3,19,5,1,25,20,30,2754
Air India,Delhi,Cochin,1,21,5,17,40,5,20,23,0,8067
Vistara,Kolkata,Banglore,1,6,5,7,10,15,30,22,40,8452
Jet Airways,Banglore,New_Delhi,1,6,3,14,5,21,20,11,25,15025
Jet Airways,Banglore,New_Delhi,1,1,3,8,55,7,15,16,10,26890
Jet Airways,Delhi,Cochin,1,6,3,13,0,5,50,18,50,15103
Jet Airways,Kolkata,Banglore,1,24,5,14,5,14,35,4,40,8586
Jet Airways,Kolkata,Banglore,1,9,6,8,25,7,55,16,20,10844
Jet Airways,Delhi,Cochin,1,21,5,21,50,6,35,4,25,12898
Jet Airways,Kolkata,Banglore,1,12,5,6,30,25,45,8,15,8586
Multiple carriers,Delhi,Cochin,1,9,6,8,30,10,30,19,0,11622
Air India,Delhi,Cochin,2,6,5,12,20,30,55,19,15,13538
Jet Airways,Delhi,Cochin,2,1,6,5,30,22,55,4,25,13014
Jet Airways,Kolkata,Banglore,1,9,5,18,55,15,10,10,5,13941
Jet Airways,Kolkata,Banglore,1,18,5,9,35,25,20,10,55,14151
Multiple carriers,Delhi,Cochin,1,21,3,17,30,8,5,1,35,13542
IndiGo,Delhi,Cochin,1,21,3,6,40,15,40,22,20,6558
Air Asia,Kolkata,Banglore,1,18,5,7,35,11,50,19,25,5192
Vistara,Banglore,Delhi,0,1,6,7,0,2,40,9,40,4878
Jet Airways,Delhi,Cochin,1,27,5,15,0,21,35,12,35,12898
Air India,Delhi,Cochin,1,9,6,17,40,5,20,23,0,7384
GoAir,Banglore,Delhi,0,3,5,7,45,2,55,10,40,3898
Air Asia,Banglore,Delhi,0,6,5,23,55,2,50,2,45,3383
IndiGo,Delhi,Cochin,1,24,6,6,40,14,20,21,0,6093
Multiple carriers,Delhi,Cochin,1,12,6,8,0,11,0,19,0,12192
Multiple carriers,Delhi,Cochin,1,12,6,12,50,12,40,1,30,6795
Jet Airways,Banglore,New_Delhi,1,18,3,7,0,24,40,7,40,11455
IndiGo,Chennai,Kolkata,0,1,6,15,40,2,45,18,25,3540
Multiple carriers,Delhi,Cochin,1,27,5,9,0,10,15,19,15,15898
Multiple carriers,Delhi,Cochin,1,3,6,10,0,11,0,21,0,9718
GoAir,Kolkata,Banglore,1,15,5,16,40,7,35,0,15,7831
IndiGo,Delhi,Cochin,1,3,6,8,30,12,30,21,0,6416
Vistara,Chennai,Kolkata,0,27,3,7,5,2,15,9,20,3739
Vistara,Kolkata,Banglore,1,6,5,7,10,16,15,23,25,8085
IndiGo,Banglore,Delhi,0,3,5,16,55,3,0,19,55,4823
Jet Airways,Delhi,Cochin,2,9,6,14,35,22,0,12,35,13376
Vistara,Kolkata,Banglore,1,15,5,20,20,14,25,10,45,8452
Jet Airways,Kolkata,Banglore,1,6,6,20,0,26,35,22,35,10844
Vistara,Delhi,Cochin,0,27,3,6,0,3,10,9,10,4851
Multiple carriers,Delhi,Cochin,1,15,6,19,0,6,30,1,30,6795
IndiGo,Banglore,Delhi,0,18,5,8,30,2,50,11,20,4823
Jet Airways,Delhi,Cochin,1,9,6,20,55,7,30,4,25,10577
Jet Airways,Delhi,Cochin,1,27,3,20,50,22,55,19,45,12032
Air Asia,Delhi,Cochin,1,1,6,7,55,5,30,13,25,9330
Vistara,Kolkata,Banglore,1,1,4,17,0,5,55,22,55,8977
Multiple carriers,Delhi,Cochin,1,1,6,12,50,8,10,21,0,7005
Jet Airways,Kolkata,Banglore,1,18,5,14,5,6,40,20,45,10844
Multiple carriers,Delhi,Cochin,1,24,6,3,50,8,45,12,35,12192
Air India,Banglore,New_Delhi,0,24,3,10,0,2,45,12,45,4441
Multiple carriers,Delhi,Cochin,1,9,5,10,35,8,40,19,15,7575
IndiGo,Kolkata,Banglore,0,21,6,4,40,2,35,7,15,4804
SpiceJet,Chennai,Kolkata,0,6,6,9,45,2,15,12,0,3597
Air India,Kolkata,Banglore,1,6,6,17,30,26,55,20,25,10413
Jet Airways,Banglore,Delhi,0,9,6,6,0,2,45,8,45,8016
Jet Airways,Kolkata,Banglore,1,9,6,20,0,16,0,12,0,10844
Jet Airways,Kolkata,Banglore,1,12,5,16,30,16,50,9,20,9663
IndiGo,Delhi,Cochin,1,18,5,20,25,5,5,1,30,6069
IndiGo,Delhi,Cochin,1,27,5,11,55,10,35,22,30,6442
Multiple carriers,Delhi,Cochin,1,1,6,9,0,12,0,21,0,13587
Air India,Mumbai,Hyderabad,0,9,5,19,30,1,15,20,45,3100
Jet Airways,Kolkata,Banglore,1,21,5,6,30,11,45,18,15,14781
Jet Airways,Delhi,Cochin,1,21,5,21,50,21,10,19,0,12898
IndiGo,Kolkata,Banglore,0,18,6,14,25,2,30,16,55,4804
SpiceJet,Kolkata,Banglore,0,15,4,9,0,2,25,11,25,4174
IndiGo,Banglore,Delhi,0,24,5,23,30,2,50,2,20,4591
Jet Airways,Kolkata,Banglore,1,6,5,16,30,27,20,19,50,9663
Multiple carriers,Delhi,Cochin,1,15,5,8,45,10,30,19,15,8266
IndiGo,Banglore,Delhi,0,6,5,7,10,2,55,10,5,4823
Air India,Delhi,Cochin,0,21,5,18,5,3,5,21,10,6094
Jet Airways,Kolkata,Banglore,1,24,5,21,10,7,30,4,40,14178
Jet Airways,Delhi,Cochin,2,9,6,6,45,29,50,12,35,13376
Air India,Mumbai,Hyderabad,0,24,3,21,5,1,20,22,25,2575
Vistara,Mumbai,Hyderabad,1,6,3,7,30,12,25,19,55,12395
IndiGo,Delhi,Cochin,1,27,3,9,10,11,50,21,0,10351
Air Asia,Kolkata,Banglore,1,21,5,7,35,15,55,23,30,5192
Multiple carriers,Delhi,Cochin,1,15,5,12,50,8,10,21,0,7670
Air India,Banglore,New_Delhi,2,18,3,11,5,35,5,22,10,11161
Jet Airways,Kolkata,Banglore,1,24,5,20,25,21,35,18,0,14151
IndiGo,Kolkata,Banglore,1,6,5,15,15,4,50,20,5,4775
Air India,Delhi,Cochin,2,6,3,13,5,20,20,9,25,12865
Air India,Mumbai,Hyderabad,0,6,3,19,30,1,15,20,45,5462
SpiceJet,Delhi,Cochin,1,9,3,6,10,5,10,11,20,8382
Jet Airways,Banglore,Delhi,0,24,4,17,45,3,0,20,45,4544
Jet Airways,Banglore,Delhi,0,1,4,15,15,2,55,18,10,4544
Jet Airways,Kolkata,Banglore,1,18,5,16,30,7,5,23,35,14781
SpiceJet,Delhi,Cochin,1,27,5,8,45,4,30,13,15,5158
Jet Airways,Mumbai,Hyderabad,0,21,3,15,50,1,30,17,20,5678
Jet Airways,Delhi,Cochin,2,9,6,11,40,7,20,19,0,18804
IndiGo,Mumbai,Hyderabad,0,3,6,9,10,1,30,10,40,4049
IndiGo,Kolkata,Banglore,0,24,3,10,10,2,45,12,55,6565
Jet Airways,Delhi,Cochin,1,18,5,18,15,18,20,12,35,12373
Air India,Banglore,New_Delhi,0,18,3,17,0,2,45,19,45,4441
SpiceJet,Chennai,Kolkata,0,18,5,17,45,2,20,20,5,3597
Jet Airways,Mumbai,Hyderabad,0,18,6,19,35,1,30,21,5,5678
Air India,Delhi,Cochin,2,9,3,9,45,23,40,9,25,10660
Jet Airways,Banglore,Delhi,0,21,4,6,0,2,45,8,45,4544
IndiGo,Banglore,Delhi,0,24,5,8,30,2,50,11,20,4823
Air India,Kolkata,Banglore,2,9,5,14,30,8,45,23,15,14214
Jet Airways,Kolkata,Banglore,1,1,5,8,25,7,55,16,20,14781
Multiple carriers,Delhi,Cochin,1,1,3,19,0,6,35,1,35,23533
Jet Airways,Delhi,Cochin,1,9,3,19,15,23,35,18,50,14053
Jet Airways,Delhi,Cochin,1,27,6,21,50,21,10,19,0,10262
IndiGo,Banglore,Delhi,0,21,6,20,0,2,50,22,50,4823
Air India,Delhi,Cochin,1,18,5,17,40,14,35,8,15,8361
Air India,Delhi,Cochin,2,9,6,5,55,37,20,19,15,10493
Multiple carriers,Delhi,Cochin,1,3,3,7,5,6,15,13,20,17057
Air India,Delhi,Cochin,2,18,5,17,15,26,0,19,15,12392
IndiGo,Delhi,Cochin,1,12,6,11,25,14,5,1,30,5883
Jet Airways,Delhi,Cochin,1,21,5,11,30,7,30,19,0,12898
Jet Airways,Delhi,Cochin,1,21,5,2,15,16,45,19,0,16079
Multiple carriers,Delhi,Cochin,1,12,6,4,55,7,40,12,35,10678
Air India,Banglore,New_Delhi,2,1,3,6,45,28,25,11,10,20999
IndiGo,Banglore,New_Delhi,1,21,3,19,35,5,0,0,35,6575
Jet Airways,Delhi,Cochin,2,21,5,19,30,8,55,4,25,15129
Jet Airways,Kolkata,Banglore,1,6,6,18,55,23,20,18,15,10844
Air India,Banglore,New_Delhi,1,3,3,9,30,14,15,23,45,11654
IndiGo,Kolkata,Banglore,1,1,4,8,10,4,50,13,0,5069
Air India,Banglore,Delhi,0,1,4,6,10,2,45,8,55,5176
Jet Airways,Delhi,Cochin,2,9,6,5,30,22,55,4,25,13292
IndiGo,Delhi,Cochin,1,6,6,2,0,5,45,7,45,6386
Jet Airways,Delhi,Cochin,2,21,5,13,25,29,35,19,0,15129
Air India,Kolkata,Banglore,0,6,3,20,45,2,35,23,20,4435
IndiGo,Banglore,Delhi,0,18,5,23,30,2,50,2,20,4591
Jet Airways,Banglore,New_Delhi,1,21,3,5,45,17,15,23,0,7832
IndiGo,Kolkata,Banglore,0,12,4,4,40,2,35,7,15,4174
Multiple carriers,Delhi,Cochin,1,27,3,7,0,8,30,15,30,6148
Multiple carriers,Delhi,Cochin,1,27,5,9,15,10,0,19,15,9149
Multiple carriers,Delhi,Cochin,2,27,3,13,5,8,15,21,20,6128
IndiGo,Delhi,Cochin,1,27,3,16,10,6,10,22,20,6412
Multiple carriers,Delhi,Cochin,1,18,5,8,0,13,0,21,0,8073
Jet Airways,Delhi,Cochin,0,24,6,11,0,3,15,14,15,4256
Air India,Kolkata,Banglore,2,12,5,10,0,19,25,5,25,14634
Multiple carriers,Delhi,Cochin,1,21,5,13,0,8,0,21,0,14067
IndiGo,Kolkata,Banglore,0,6,5,15,30,2,35,18,5,4804
SpiceJet,Kolkata,Banglore,0,21,4,17,10,2,30,19,40,4911
IndiGo,Delhi,Cochin,1,9,6,16,10,6,20,22,30,6412
SpiceJet,Chennai,Kolkata,0,15,6,8,20,2,15,10,35,3543
IndiGo,Chennai,Kolkata,0,6,6,11,35,2,25,14,0,3858
Air India,Kolkata,Banglore,2,15,5,12,0,19,55,7,55,9941
Jet Airways,Banglore,Delhi,0,9,4,8,20,3,0,11,20,7229
GoAir,Banglore,New_Delhi,1,3,3,15,45,4,30,20,15,8352
Jet Airways,Kolkata,Banglore,1,12,5,9,35,12,30,22,5,14151
Multiple carriers,Delhi,Cochin,1,6,6,17,45,7,45,1,30,6795
IndiGo,Kolkata,Banglore,0,3,5,20,20,2,35,22,55,4804
Air India,Delhi,Cochin,1,6,6,5,15,25,35,6,50,6587
GoAir,Delhi,Cochin,1,3,4,7,25,6,10,13,35,4106
Air India,Kolkata,Banglore,0,18,4,14,15,2,30,16,45,5510
Jet Airways,Delhi,Cochin,2,9,5,9,40,9,20,19,0,15129
Jet Airways,Delhi,Cochin,2,9,5,9,40,18,45,4,25,13029
IndiGo,Delhi,Cochin,1,15,6,7,15,5,15,12,30,6582
Multiple carriers,Delhi,Cochin,1,27,6,17,45,7,45,1,30,5797
Jet Airways,Kolkata,Banglore,1,12,6,20,25,14,30,10,55,12692
SpiceJet,Chennai,Kolkata,0,27,3,8,20,2,15,10,35,3332
Air India,Kolkata,Banglore,2,9,6,12,0,19,55,7,55,10151
IndiGo,Delhi,Cochin,1,6,4,2,0,5,25,7,25,5046
Air India,Delhi,Cochin,1,15,6,6,10,16,50,23,0,8907
Air India,Banglore,Delhi,0,6,5,21,5,2,50,23,55,5228
IndiGo,Delhi,Cochin,1,3,3,5,35,4,35,10,10,13753
Jet Airways,Banglore,New_Delhi,1,9,3,8,55,12,25,21,20,11087
Jet Airways,Kolkata,Banglore,1,18,5,14,5,9,30,23,35,14781
IndiGo,Kolkata,Banglore,0,6,5,11,30,2,35,14,5,5224
Jet Airways,Banglore,Delhi,0,6,5,15,15,2,55,18,10,3702
IndiGo,Mumbai,Hyderabad,0,18,3,19,5,1,25,20,30,2754
Air Asia,Banglore,Delhi,0,24,5,11,10,2,45,13,55,3383
Air India,Banglore,Delhi,0,15,4,13,20,2,50,16,10,5228
IndiGo,Delhi,Cochin,1,27,5,20,25,5,5,1,30,5054
Jet Airways,Banglore,New_Delhi,1,18,3,8,55,10,15,19,10,13555
Multiple carriers,Delhi,Cochin,1,1,6,17,0,8,30,1,30,7408
IndiGo,Kolkata,Banglore,0,24,5,14,25,2,30,16,55,5224
IndiGo,Banglore,New_Delhi,1,1,3,12,10,4,55,17,5,9694
IndiGo,Delhi,Cochin,1,21,3,17,10,8,25,1,35,7318
IndiGo,Delhi,Cochin,1,21,5,7,35,4,35,12,10,5054
Jet Airways,Banglore,Delhi,0,1,5,18,55,3,5,22,0,4030
Jet Airways,Banglore,New_Delhi,1,6,3,8,0,10,25,18,25,16736
Air India,Mumbai,Hyderabad,0,18,3,19,30,1,15,20,45,2050
Air India,Mumbai,Hyderabad,2,12,3,1,35,13,15,14,50,9977
Jet Airways,Delhi,Cochin,2,6,6,5,30,22,55,4,25,10368
IndiGo,Delhi,Cochin,1,9,3,7,45,5,55,13,40,6755
Jet Airways,Banglore,Delhi,0,15,5,15,15,2,55,18,10,3502
Air India,Banglore,Delhi,0,24,6,10,0,2,45,12,45,6961
Jet Airways,Banglore,Delhi,0,9,4,15,50,2,55,18,45,4544
SpiceJet,Kolkata,Banglore,0,18,5,14,55,2,30,17,25,3841
Jet Airways,Mumbai,Hyderabad,2,6,3,14,20,26,30,16,50,24115
Vistara,Kolkata,Banglore,1,24,5,7,10,25,55,9,5,9502
Air India,Mumbai,Hyderabad,0,1,4,6,20,1,20,7,40,3100
SpiceJet,Banglore,Delhi,0,15,4,5,55,2,40,8,35,4319
IndiGo,Mumbai,Hyderabad,0,1,5,20,5,1,35,21,40,2227
SpiceJet,Kolkata,Banglore,0,24,3,22,20,2,20,0,40,5831
IndiGo,Kolkata,Banglore,0,9,6,21,25,2,40,0,5,4804
IndiGo,Delhi,Cochin,1,6,6,7,35,4,35,12,10,5458
Jet Airways,Banglore,Delhi,0,9,6,18,55,3,5,22,0,7229
Jet Airways,Kolkata,Banglore,1,6,6,18,55,15,10,10,5,14571
SpiceJet,Banglore,Delhi,0,9,6,21,10,2,55,0,5,3919
Multiple carriers,Delhi,Cochin,1,9,3,7,5,9,5,16,10,6916
Jet Airways,Delhi,Cochin,1,27,3,13,0,15,25,4,25,6960
Jet Airways,Banglore,New_Delhi,1,6,3,9,45,4,40,14,25,16757
IndiGo,Delhi,Cochin,1,6,3,16,0,9,35,1,35,14871
IndiGo,Delhi,Cochin,1,12,6,7,35,4,35,12,10,5054
Air India,Delhi,Cochin,2,3,6,12,20,30,55,19,15,12488
IndiGo,Banglore,Delhi,0,15,4,18,25,2,55,21,20,4823
Air India,Delhi,Cochin,2,9,3,5,55,37,20,19,15,14483
Air India,Delhi,Cochin,2,24,6,17,15,26,0,19,15,11989
Jet Airways,Delhi,Cochin,1,21,5,22,50,20,10,19,0,16079
Jet Airways,Kolkata,Banglore,1,6,5,9,35,25,20,10,55,13067
IndiGo,Delhi,Cochin,1,12,6,5,5,11,5,16,10,6818
Jet Airways,Kolkata,Banglore,1,12,5,8,25,23,50,8,15,13941
Multiple carriers,Delhi,Cochin,1,24,6,9,0,10,0,19,0,12927
IndiGo,Kolkata,Banglore,0,15,5,22,15,2,35,0,50,4804
Jet Airways,Delhi,Cochin,1,1,4,16,0,20,35,12,35,5406
IndiGo,Delhi,Cochin,1,21,3,10,45,14,50,1,35,7318
IndiGo,Chennai,Kolkata,0,21,3,7,55,2,20,10,15,3384
Air Asia,Delhi,Cochin,1,3,6,20,45,9,50,6,35,11410
Jet Airways,Banglore,New_Delhi,1,15,3,5,45,7,30,13,15,9134
Jet Airways,Banglore,New_Delhi,1,21,3,14,5,7,15,21,20,7832
Jet Airways,Banglore,New_Delhi,1,6,3,8,55,22,45,7,40,14815
IndiGo,Banglore,Delhi,0,3,6,23,30,2,50,2,20,4591
Jet Airways,Delhi,Cochin,1,9,5,22,50,20,10,19,0,12373
Air Asia,Banglore,New_Delhi,0,9,3,5,50,2,50,8,40,4284
Jet Airways,Kolkata,Banglore,1,18,5,5,45,22,55,4,40,13941
Jet Airways,Delhi,Cochin,1,9,3,17,25,25,25,18,50,16289
IndiGo,Delhi,Cochin,1,24,6,23,30,5,5,4,35,9165
Jet Airways,Banglore,Delhi,0,21,6,6,0,2,45,8,45,8016
Air Asia,Kolkata,Banglore,1,1,4,22,40,12,0,10,40,5192
Jet Airways,Kolkata,Banglore,1,9,6,21,10,11,5,8,15,14939
Jet Airways,Banglore,New_Delhi,1,1,3,11,40,21,50,9,30,25735
Multiple carriers,Delhi,Cochin,1,3,6,10,0,9,0,19,0,14502
